City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,API Call Date
Ciudad Bolivar,8.12,-63.55,79.79,82,90,6.26,VE,1602021967
Parksville,49.32,-124.32,71.01,72,0,1.99,CA,1602021930
Kuusankoski,60.91,26.62,53.6,100,20,8.05,FI,1602021968
Kallaste,58.66,27.16,51.01,93,59,3.36,EE,1602021968
Geraldton,-28.77,114.6,46.4,70,59,9.17,AU,1602021969
Piaçabuçu,-10.41,-36.43,74.43,78,0,8.48,BR,1602021969
Rzeszów,50.04,22.0,55.4,82,0,4.7,PL,1602021969
Sambava,-14.27,50.17,74.05,90,100,6.22,MG,1602021969
Yerbogachën,61.28,108.01,41.04,85,100,11.92,RU,1602021970
Pangody,65.85,74.49,32.2,98,99,14.41,RU,1602021970
Zhuhai,22.28,113.57,75.2,78,40,20.8,CN,1602021970
Anagé,-14.61,-41.14,79.52,49,2,6.35,BR,1602021970
Ipixuna,-1.76,-48.8,73.4,100,40,3.36,BR,1602021970
Pula,44.87,13.85,62.6,72,20,8.05,HR,1602021971
Hualmay,-11.1,-77.61,65.77,73,74,6.42,PE,1602021971
Haines Junction,60.75,-137.51,43.29,64,99,3.87,CA,1602021972
Farafangana,-22.82,47.83,65.19,91,98,3.24,MG,1602021972
East Stroudsburg,41.0,-75.18,62.01,68,1,5.46,US,1602021972
Yarmouth,41.71,-70.23,62.6,72,90,10.29,US,1602021725
Aklavik,68.22,-135.01,35.6,80,90,13.87,CA,1602021973
Pilar,-9.6,-35.96,75.2,83,7,10.29,BR,1602021973
Oga,46.46,10.35,50.0,86,75,6.93,IT,1602021973
Pemberton,50.32,-122.8,75.99,64,40,5.82,CA,1602021974
Kimbe,-5.55,150.14,82.18,75,20,3.11,PG,1602021974
Maputo,-25.97,32.59,71.01,77,75,6.93,MZ,1602021974
Alugan,12.22,125.48,78.39,89,100,6.51,PH,1602021975
Acapulco de Juárez,16.86,-99.89,87.8,66,40,10.29,MX,1602021720
Deputatsky,69.3,139.9,25.61,97,74,17.74,RU,1602021975
Itoman,26.12,127.67,77.0,61,20,11.41,JP,1602021975
Sawtell,-30.38,153.1,69.8,64,40,5.82,AU,1602021975
Kamogawa,35.1,140.1,66.2,63,75,13.87,JP,1602021976
Ilorin,8.5,4.55,74.86,85,94,6.44,NG,1602021976
Tuatapere,-46.13,167.68,50.0,75,86,17.0,NZ,1602021976
Mutoko,-17.4,32.23,64.6,73,99,3.87,ZW,1602021977
Basoko,1.24,23.62,71.02,93,67,3.85,CD,1602021977
Bujaru,-1.51,-48.04,73.4,100,40,3.36,BR,1602021977
Nyandoma,61.67,40.2,49.35,96,99,8.68,RU,1602021978
Strezhevoy,60.73,77.59,30.2,92,75,6.71,RU,1602021978
Krivosheino,57.34,83.93,32.85,97,100,10.11,RU,1602021978
Rome,43.21,-75.46,66.2,39,90,8.05,US,1602021826
Omsukchan,62.53,155.8,26.71,86,63,6.6,RU,1602021979
Bichura,50.59,107.6,34.27,87,6,3.11,RU,1602021979
Alyangula,-13.85,136.42,71.6,100,0,12.57,AU,1602021979
Antonina,-25.43,-48.71,69.8,88,20,9.17,BR,1602021980
Sitka,57.05,-135.33,53.6,71,75,6.93,US,1602021973
Ostrovnoy,68.05,39.51,43.75,81,100,11.72,RU,1602021980
Muromtsevo,56.37,75.24,34.11,94,100,10.58,RU,1602021980
Parkersburg,39.27,-81.56,69.8,32,1,12.75,US,1602021981
Cuenca,-2.88,-78.98,62.6,55,90,4.7,EC,1602021981
Tăureni,46.27,25.25,59.0,93,85,2.24,RO,1602021981
Deqing,30.54,119.96,66.99,70,100,7.0,CN,1602021982
Palembang,-2.92,104.75,76.01,86,42,3.24,ID,1602021982
Nyahururu,0.04,36.37,55.81,74,82,3.13,KE,1602021982
Coquimbo,-29.95,-71.34,59.0,67,31,12.75,CL,1602021877
Lüderitz,-26.65,15.16,63.28,65,0,19.37,NA,1602021982
Mayor Pablo Lagerenza,-19.93,-60.77,95.4,25,17,4.54,PY,1602021983
Roccastrada,43.01,11.17,62.6,82,75,8.05,IT,1602021983
Kingston,18.0,-76.79,86.0,79,20,16.11,JM,1602021713
Lerwick,60.15,-1.15,51.8,93,100,5.82,GB,1602021894
Masuguru,-11.37,38.42,74.57,77,24,5.82,TZ,1602021984
Zhigansk,66.77,123.37,29.39,95,0,10.29,RU,1602021984
Dunkirk,51.05,2.37,57.99,82,56,5.99,FR,1602021984
Tuy Hoa,13.08,109.3,78.08,91,100,4.27,VN,1602021984
Paamiut,61.99,-49.67,30.34,83,0,8.52,GL,1602021985
Ozernovskiy,51.5,156.52,47.5,81,100,20.56,RU,1602021985
Ürümqi,43.8,87.6,41.0,93,90,6.71,CN,1602021985
San Lazaro,18.04,-88.66,86.0,69,90,11.41,BZ,1602021985
Tambun,-6.26,107.07,77.0,83,20,2.51,ID,1602021986
Saint-Augustin,51.23,-58.65,50.76,86,100,23.17,CA,1602021986
Ugoofaaru,5.67,73.0,81.82,78,100,12.37,MV,1602021986
Pacifica,37.61,-122.49,73.0,68,75,16.11,US,1602021866
Atambua,-9.11,124.89,74.62,83,66,3.47,ID,1602021987
Mezen',65.85,44.24,41.05,87,94,8.5,RU,1602021987
Corat,40.57,49.71,60.8,72,87,4.7,AZ,1602021987
Kendari,-3.94,122.5,74.21,93,100,3.09,ID,1602021987
Padang,-0.95,100.35,77.04,80,21,4.63,ID,1602021988
Jaca,42.57,-0.55,54.0,94,100,5.53,ES,1602021988
Huarmey,-10.07,-78.15,66.85,71,81,6.55,PE,1602021988
Filingué,14.35,3.32,94.98,21,0,6.69,NE,1602021988
Borogontsy,62.67,131.17,39.15,94,100,5.59,RU,1602021989
Codajás,-3.84,-62.06,74.35,94,97,1.79,BR,1602021989
Punta Cardon,11.66,-70.22,85.28,71,29,9.89,VE,1602021989
Mackay,-21.15,149.2,71.01,88,75,5.82,AU,1602021990
Florianópolis,-27.61,-48.5,70.0,82,75,9.17,BR,1602021990
Muli,2.92,73.57,82.02,78,100,9.89,MV,1602021990
Sinop Province,41.77,34.87,63.57,39,0,6.06,TR,1602021990
Talara,-4.58,-81.27,67.33,73,62,14.72,PE,1602021991
São João da Barra,-21.64,-41.05,78.8,78,17,18.34,BR,1602021991
Mossamedes,-15.2,12.15,62.08,81,6,5.46,AO,1602021991
Kisangani,0.52,25.2,72.73,91,17,1.72,CD,1602021991
Medininagar,24.03,84.07,75.33,92,97,1.97,IN,1602021991
Kumul,42.8,93.45,58.59,31,99,5.17,CN,1602021992
Wanning,18.8,110.4,78.37,90,100,21.07,CN,1602021770
Vaasa,63.1,21.62,55.4,87,20,10.29,FI,1602021992
Vegreville,53.5,-112.05,59.0,34,2,18.48,CA,1602021979
Mbanza-Ngungu,-5.25,14.87,74.97,75,95,5.91,CD,1602021993
Taungdwingyi,20.02,95.55,74.52,91,17,4.76,MM,1602021993
Manta,-0.95,-80.73,84.2,58,69,13.87,EC,1602021960
Turka,49.15,23.03,53.01,97,1,20.0,UA,1602021993
Tura,25.52,90.22,72.39,96,79,4.29,IN,1602021994
Miramar,25.99,-80.23,89.01,70,40,13.87,US,1602021994
Natal,-5.79,-35.21,77.0,83,20,6.93,BR,1602021994
Dibulla,11.27,-73.31,82.42,75,29,3.27,CO,1602021995
Lebanon,36.21,-86.29,75.99,44,1,8.05,US,1602021995
Arman',59.7,150.17,36.91,67,0,8.66,RU,1602021995
Valdivia,-39.81,-73.25,53.6,54,20,10.29,CL,1602021727
Puerto Ayacucho,5.66,-67.62,80.76,80,57,3.02,VE,1602021996
Pelym,61.01,62.0,30.07,94,0,4.72,RU,1602021996
Dāmghān,36.17,54.35,57.27,67,92,8.21,IR,1602021997
Rzhishchëv,49.97,31.05,64.4,77,75,15.66,UA,1602021997
Burns Lake,54.23,-125.75,54.19,48,85,6.78,CA,1602021997
Luganville,-15.53,167.17,80.6,83,75,3.36,VU,1602021997
Luba,3.46,8.55,77.86,79,100,1.81,GQ,1602021997
Emerald,-23.53,148.17,69.01,77,0,8.05,AU,1602021998
Kenai,60.55,-151.26,53.6,58,1,4.7,US,1602021998
Vao,-22.67,167.48,70.41,82,1,14.76,NC,1602021998
Bay Roberts,47.6,-53.26,48.0,45,29,7.07,CA,1602021809
Chitral,35.85,71.79,61.32,34,0,1.52,PK,1602021999
Pleasant Point,-44.27,171.13,59.0,70,0,5.01,NZ,1602021999
Madimba,-10.4,40.33,71.6,88,20,5.08,TZ,1602021999
Dolinsk,47.35,142.8,39.2,100,75,4.47,RU,1602021999
Takoradze,4.88,-1.76,76.64,90,18,9.89,GH,1602022000
Pirovskoye,57.63,92.27,30.65,97,100,12.35,RU,1602022000
Krasnyy Chikoy,50.36,108.75,29.37,94,0,3.13,RU,1602022000
Wajima,37.4,136.9,63.1,58,74,13.06,JP,1602022000
Knysna,-34.04,23.05,57.2,100,0,1.12,ZA,1602022001
Solnechnyy,50.72,136.63,38.32,85,56,1.45,RU,1602022001
Havre-St-Pierre,50.23,-63.6,48.2,93,90,4.7,CA,1602022001
Pavlikeni,43.24,25.32,66.2,82,100,5.82,BG,1602022001
Moindou,-21.69,165.68,73.4,64,75,2.24,NC,1602022002
Rødbyhavn,54.65,11.35,55.99,87,68,5.01,DK,1602022002
Umm Kaddadah,13.6,26.69,92.21,29,96,2.53,SD,1602022002
Biržai,56.2,24.75,51.31,84,18,7.54,LT,1602022002
Vila Franca do Campo,37.72,-25.43,69.8,73,75,11.41,PT,1602022003
Kupang,-10.17,123.58,77.0,83,75,5.82,ID,1602022003
Denpasar,-8.65,115.22,75.2,100,20,3.36,ID,1602022003
Havøysund,71.0,24.66,44.6,81,40,35.57,NO,1602022003
Belaya Gora,68.53,146.42,30.25,81,86,9.26,RU,1602022004
Tamala,52.54,43.25,45.1,58,27,6.82,RU,1602022004
Hanover,52.37,9.73,53.01,87,20,8.05,DE,1602021766
Chornobayivka,46.69,32.55,64.22,84,95,9.26,UA,1602022004
Arcata,40.87,-124.08,62.6,93,90,3.36,US,1602022005
Bentiu,9.23,29.83,73.27,91,100,2.13,SS,1602022005
Flin Flon,54.77,-101.86,46.4,70,90,3.36,CA,1602022005
Victor Harbor,-35.57,138.62,50.0,80,100,10.94,AU,1602022005
Isabela,6.71,121.97,77.0,88,75,4.7,PH,1602022005
Port Hedland,-20.32,118.57,55.4,30,0,8.05,AU,1602022006
Kailua,21.4,-157.74,86.0,62,20,9.17,US,1602022006
Hambantota,6.12,81.12,77.0,88,75,4.7,LK,1602021768
Kiama,-34.68,150.87,64.0,96,100,1.01,AU,1602022007
Granada,37.19,-3.61,62.01,59,14,3.36,ES,1602022007
Okhotsk,59.38,143.3,37.96,69,0,15.26,RU,1602022007
Saint-François,46.42,3.91,55.99,77,100,4.0,FR,1602022007
Pangkalanbuun,-2.68,111.62,75.04,94,91,2.33,ID,1602022007
Bilibino,68.05,166.44,24.62,90,29,2.3,RU,1602022008
Gold Coast,-28.0,153.43,73.0,64,90,3.36,AU,1602021844
Cărpiniş,45.79,20.9,55.4,100,25,3.36,RO,1602022008
Sola,-13.88,167.55,80.6,94,40,12.62,VU,1602022008
Poquoson,37.12,-76.35,75.2,53,1,11.41,US,1602021818
Sungai Besar,3.67,100.99,78.8,94,20,5.5,MY,1602022009
Binabalian Ricor,16.42,119.93,82.89,79,99,9.98,PH,1602022009
Urengoy,65.97,78.37,30.24,97,100,13.67,RU,1602022009
Mayo,38.89,-76.51,70.0,56,20,5.82,US,1602022010
Bilma,18.69,12.92,88.74,13,0,3.85,NE,1602022010
Imbituba,-28.24,-48.67,66.2,82,75,9.17,BR,1602022010
Rabo de Peixe,37.8,-25.58,69.8,73,75,11.41,PT,1602022010
